resource,element,r6_type,version_added,package_version_added,prior_state,matched_path_in_added_version,match_type,is_sole_target,presence_trail,confidence,notes
AdverseEvent,AdverseEvent.contributingFactor,CodeableReference,R5,5.0.0,no_dr,AdverseEvent.contributingFactor.item[x],element_alias,no,R2:unknown;R3:unknown;R4:no_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,
AdverseEvent,AdverseEvent.mitigatingAction,CodeableReference,R5,5.0.0,element_absent,AdverseEvent.mitigatingAction.item[x],element_alias,no,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
AdverseEvent,AdverseEvent.preventiveAction,CodeableReference,R5,5.0.0,element_absent,AdverseEvent.preventiveAction.item[x],element_alias,no,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
AdverseEvent,AdverseEvent.supportingInfo,CodeableReference,R5,5.0.0,element_absent,AdverseEvent.supportingInfo.item[x],element_alias,no,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
Appointment,Appointment.patientInstruction,CodeableReference,R5,5.0.0,no_dr,Appointment.patientInstruction,exact,no,R2:unknown;R3:unknown;R4:no_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,
Consent,Consent.policyText,Reference,R5,5.0.0,element_absent,Consent.policyText,exact,yes,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
Consent,Consent.sourceReference,Reference,≤ R4,4.0.1,earlier_release_unavailable,Consent.source[x],element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Contract,Contract.friendly.content[x],Reference,≤ R4,4.0.1,earlier_release_unavailable,Contract.friendly.content[x],exact,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Contract,Contract.legal.content[x],Reference,≤ R4,4.0.1,earlier_release_unavailable,Contract.legal.content[x],exact,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Contract,Contract.legallyBinding[x],Reference,≤ R4,4.0.1,earlier_release_unavailable,Contract.legallyBinding[x],exact,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Contract,Contract.rule.content[x],Reference,≤ R4,4.0.1,earlier_release_unavailable,Contract.rule.content[x],exact,yes,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Contract,Contract.term.action.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,Contract.term.action.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
DeviceRequest,DeviceRequest.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,DeviceRequest.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
DiagnosticReport,DiagnosticReport.media.link,Reference,R5,5.0.0,no_dr,DiagnosticReport.media.link,exact,yes,R2:unknown;R3:unknown;R4:no_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,
DiagnosticReport,DiagnosticReport.supportingInfo.reference,Reference,R6,6.0.0 (source),no_dr,DiagnosticReport.supportingInfo.reference,exact,no,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:no_dr;R6:has_dr,high,R6 source: differential only — snapshot not consulted.
DocumentReference,DocumentReference.relatesTo.target,Reference,≤ R4,4.0.1,earlier_release_unavailable,DocumentReference.relatesTo.target,exact,yes,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
FamilyMemberHistory,FamilyMemberHistory.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,FamilyMemberHistory.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
ImagingSelection,ImagingSelection.derivedFrom,Reference,R5,5.0.0,resource_absent,ImagingSelection.derivedFrom,exact,no,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
ImagingStudy,ImagingStudy.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,ImagingStudy.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
MedicinalProductDefinition,MedicinalProductDefinition.attachedDocument,Reference,R5,5.0.0,resource_absent,MedicinalProductDefinition.attachedDocument,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
MedicinalProductDefinition,MedicinalProductDefinition.masterFile,Reference,R5,5.0.0,resource_absent,MedicinalProductDefinition.masterFile,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
NutritionIntake,NutritionIntake.reason,CodeableReference,R5,5.0.0,resource_absent,NutritionIntake.reason,exact,no,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
Observation,Observation.derivedFrom,Reference,≤ R4,4.0.1,earlier_release_unavailable,Observation.derivedFrom,exact,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
PackagedProductDefinition,PackagedProductDefinition.attachedDocument,Reference,R5,5.0.0,resource_absent,PackagedProductDefinition.attachedDocument,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
Procedure,Procedure.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,Procedure.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
Procedure,Procedure.report,Reference,≤ R4,4.0.1,earlier_release_unavailable,Procedure.report,exact,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
RegulatedAuthorization,RegulatedAuthorization.attachedDocument,Reference,R5,5.0.0,resource_absent,RegulatedAuthorization.attachedDocument,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
RequestOrchestration,RequestOrchestration.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,RequestGroup.reasonReference,resource_alias+element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
RiskAssessment,RiskAssessment.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,RiskAssessment.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
ServiceRequest,ServiceRequest.basedOn,Reference,R6,6.0.0 (source),no_dr,ServiceRequest.basedOn,exact,no,R2:unknown;R3:unknown;R4:no_dr;R4B:unknown;R5:no_dr;R6:has_dr,high,R6 source: differential only — snapshot not consulted.
ServiceRequest,ServiceRequest.patientInstruction.instruction[x],Reference,R5,5.0.0,element_absent,ServiceRequest.patientInstruction.instruction[x],exact,yes,R2:unknown;R3:unknown;R4:elem_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
ServiceRequest,ServiceRequest.reason,CodeableReference,≤ R4,4.0.1,earlier_release_unavailable,ServiceRequest.reasonReference,element_alias,no,R2:unknown;R3:unknown;R4:has_dr;R4B:unknown;R5:has_dr;R6:has_dr,high,Present in earliest available core (R4); pre-R4 packages not analyzed.
SubstanceDefinition,SubstanceDefinition.code.source,Reference,R5,5.0.0,resource_absent,SubstanceDefinition.code.source,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
SubstanceDefinition,SubstanceDefinition.name.source,Reference,R5,5.0.0,resource_absent,SubstanceDefinition.name.source,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
SubstanceDefinition,SubstanceDefinition.relationship.source,Reference,R5,5.0.0,resource_absent,SubstanceDefinition.relationship.source,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
SubstanceDefinition,SubstanceDefinition.structure.representation.document,Reference,R5,5.0.0,resource_absent,SubstanceDefinition.structure.representation.document,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
SubstanceDefinition,SubstanceDefinition.structure.sourceDocument,Reference,R5,5.0.0,resource_absent,SubstanceDefinition.structure.sourceDocument,exact,yes,R2:unknown;R3:unknown;R4:res_absent;R4B:unknown;R5:has_dr;R6:has_dr,high,
