valueSetOid,valueSetName,version,code,display
2.16.840.1.113762.1.4.1267.16,AnswerSetWithYesNoAndUnknowns,20241005,373066001,Yes (qualifier value)
2.16.840.1.113762.1.4.1267.16,AnswerSetWithYesNoAndUnknowns,20241005,373067005,No (qualifier value)
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,1421009,Specialised surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,3430008,Radiation therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,3842006,Chiropractor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,4162009,Dental assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,5275007,Auxiliary nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,6816002,Specialised nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,6868009,Hospital administrator
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,8724009,Plastic surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,11661002,Neuropathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,11911009,Nephrologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,11935004,Obstetrician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,13580004,School dental assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,14698002,Medical microbiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,17561000,Cardiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,18803008,Dermatologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,18850004,Laboratory hematologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,19244007,Gerodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,20145008,Removable prosthodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,21365001,Specialised dentist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,21450003,Neuropsychiatrist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,22515006,Medical assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,22731001,Orthopedic surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,22983004,Thoracic surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,23278007,Community health physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,24430003,Physical medicine specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,24590004,Urologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,25961008,Electroencephalography specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,26042002,Dental hygienist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,26369006,Public health nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,28229004,Optometrist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,28411006,Neonatologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,28544002,Medical biochemist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,36682004,Physiotherapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,37154003,Periodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,37504001,Orthodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,39677007,Internal medicine specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,40127002,Dietitian (general)
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,40204001,Hematologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,40570005,Interpreter
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,41672002,Respiratory disease specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,41904004,Medical X-ray technician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,43702002,Occupational health nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,44652006,Pharmaceutical assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,45440000,Rheumatologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,45544007,Neurosurgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,45956004,Sanitarian
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,46255001,Pharmacist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,48740002,Philologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,49203003,Dispensing optician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,49993003,Oral surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,50149000,Endodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,54503009,Faith healer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,56397003,Neurologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,56466003,Public health physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,56542007,Medical record administrator
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,56545009,Cardiovascular surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,57654006,Fixed prosthodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,59058001,General physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,59169001,Orthopaedic technician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,59317003,Dental prosthesis maker and repairer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,59944000,Psychologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,60008001,Public health nutritionist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,61207006,Medical pathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,61246008,Laboratory medicine specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,61345009,Otorhinolaryngologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,61894003,Endocrinologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,62247001,Family medicine specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,63098009,Clinical immunologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,66476003,Oral pathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,66862007,Radiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,68867008,Public health dentist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,68950000,Prosthodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,69280009,Specialised physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,71838004,Gastroenterologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,73265009,Nursing aid
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,75271001,Professional midwife
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,76166008,Practical aid (pharmacy)
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,76231001,Osteopath
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,76899008,Infectious disease specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,78703002,General surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,78729002,Diagnostic radiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,79898004,Auxiliary midwife
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,80409005,Translator
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,80546007,Occupational therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,80584001,Psychiatrist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,80933006,Nuclear medicine specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,81464008,Clinical pathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,82296001,Pediatrician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,83273008,Anatomic pathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,83685006,Gynecologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,85733003,General pathologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,88189002,Anesthesiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,90201008,Pedodontist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,90655003,Geriatrics specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,106289002,Dentist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,106292003,Professional nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,106293008,Nursing personnel
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,106294002,Midwifery personnel
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,106330007,"Philologist, translator AND/OR interpreter"
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158965000,Medical practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158966004,Medical administrator - national
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158967008,Consultant physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158968003,Consultant surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158969006,Consultant gynecology and obstetrics
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158971006,Hospital registrar
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158972004,House officer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158973009,Occupational physician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158974003,Clinical medical officer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158975002,Medical practitioner - teaching
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158977005,Dental administrator
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158978000,Dental consultant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158979008,Dental general practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158980006,Dental practitioner - teaching
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158983008,Nurse administrator - national
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158984002,Nursing officer - region
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158985001,Nursing officer - district
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158986000,Nursing administrator - professional body
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158987009,Nursing officer - division
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158988004,Nurse education director
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158989007,Occupational health nursing officer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158990003,Nursing officer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158992006,Midwifery sister
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158993001,Nursing sister (theatre)
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158994007,Staff nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158995008,Staff midwife
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158996009,State enrolled nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158997000,District nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158998005,Private nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,158999002,Community midwife
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159001001,Clinic nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159002008,Practice nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159003003,School nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159004009,Nurse - teaching
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159005005,Student nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159006006,Dental nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159007002,Community pediatric nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159010009,Hospital pharmacist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159011008,Retail pharmacist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159012001,Industrial pharmacist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159014000,Trainee pharmacist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159016003,Medical radiographer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159017007,Diagnostic radiographer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159018002,Therapeutic radiographer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159019005,Trainee radiographer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159021000,Ophthalmic optician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159022007,Trainee optician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159025009,Remedial gymnast
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159026005,Speech and language therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159027001,Orthoptist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159028006,Trainee remedial therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159033005,Dietician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159034004,Podiatrist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,159035003,Dental auxiliary
